_id,Complaint Number,Channel of Receipt,Initial Request Date for Information,Complaint Subject,Complaint Receipt Date,Entity Complained Against,Closing Date,Decision,Number of Treatment Days,Status,Complainant Type,Freedom of Information Request Subject,Complaint Receipt Year,Complaint Receipt Month,Initial Response Days,Justified
586, 250/24,Online Form,2023-11-19 00:00:00,No Response,2024-07-15 00:00:00,צבא הגנה לישראל,,,29.0,In Treatment,עמותה,אישור חיילים לשימוש בזרעם,2024,7,239,0
587, 438/21,Online Form,2021-03-16 00:00:00,No Response,2021-09-25 00:00:00,משרד המשפטים,2022-03-10 00:00:00,Justified,166.0,Treatment Completed,אזרח,הוראות הפרקליטות בדבר המשך חקירה,2021,9,193,1
588, 432/21,Online Form,2021-06-24 00:00:00,No Response,2021-09-22 00:00:00,משרד החינוך,2022-03-24 00:00:00,Unjustified,183.0,Treatment Completed,אזרח,מידע הקיים במשרד החינוך אודות אירוע אלימות שהתרחש כלפי המתלוננת בבית ספר אלונים בקרית אתא,2021,9,90,0
589, 31/24,Online Form,2023-12-25 00:00:00,No Response,2024-01-30 00:00:00,המשרד לביטחון פנים,2024-04-04 00:00:00,Justified,65.0,Treatment Completed,אזרח,מינויי השר לפקידי רישוי לכלי יריה,2024,1,36,1
590, 184/22,Online Form,2022-03-16 00:00:00,No Response,2022-04-26 00:00:00,משרד החקלאות ופיתוח הכפר,2022-06-28 00:00:00,Partially Justified,63.0,Treatment Completed,אזרח,מסמכים מהחלטת פקיד היערות להשגה,2022,4,41,0
591, 36/23,Online Form,2022-03-14 00:00:00,No Response,2023-06-02 00:00:00,משרד החינוך,2023-02-23 00:00:00,Justified,17.0,Treatment Completed,אזרח,ביקורת שעות בחטיבות עליונות,2023,6,445,1
592, 266/23,Online Form,2023-01-31 00:00:00,No Response,2023-09-07 00:00:00,צבא הגנה לישראל,2023-09-21 00:00:00,Justified,74.0,Treatment Completed,עמותה,"בוגרי החינוך החרדי בצהל""",2023,9,219,1
593, 127/23,Online Form,2023-02-28 00:00:00,No Response,2023-03-26 00:00:00,משרד המשפטים,2023-05-10 00:00:00,Unjustified,45.0,Treatment Completed,אזרח,אי מתן מענה,2023,3,26,0
594, 266/24,Online Form,2024-05-16 00:00:00,Lack of Justification,2024-07-17 00:00:00,משרד התחבורה והבטיחות בדרכים,,,28.0,In Treatment,אזרח,פרוטוקולים,2024,7,62,0
595, 22/23,Online Form,2022-12-12 00:00:00,No Response,2023-01-16 00:00:00,צבא הגנה לישראל,2023-03-12 00:00:00,Justified,55.0,Treatment Completed,אזרח,מסמכים אישיים,2023,1,35,1
596, 67/23,Online Form,2022-12-18 00:00:00,No Response,2023-02-21 00:00:00,צבא הגנה לישראל,2023-05-11 00:00:00,Justified,79.0,Treatment Completed,עמותה,תשלום וטיפול בבקשות פורשים לקבלת העתק מן התיק האיש,2023,2,65,1
597, 93/22,Online Form,2021-12-15 00:00:00,No Response,2022-03-13 00:00:00,משרד הביטחון,2022-03-24 00:00:00,Justified,11.0,Treatment Completed,אזרח,תקצוב,2022,3,88,1
598, 183/24,Online Form,2024-07-05 00:00:00,Lack of Justification,2024-05-22 00:00:00,הנהלת בתי הדין הרבניים,2024-06-13 00:00:00,Unjustified,22.0,Treatment Completed,אזרח,"מאגר שות של מבחני טוענים רבניים""",2024,5,0,0
599, 207/23,Online Form,2022-11-12 00:00:00,No Response,2023-05-30 00:00:00,משטרת ישראל,2023-07-25 00:00:00,Justified,56.0,Treatment Completed,עמותה,אכיפה נגד מחאות,2023,5,199,1
600, 132/24,Online Form,2024-03-20 00:00:00,No Response,2024-01-05 00:00:00,משרד העבודה הרווחה והשירותים החברתיים,,,104.0,In Treatment,אזרח,פרסום נהלים מינהל הבטיחות והבריאות,2024,1,0,0
601, 55/24,Online Form,2023-10-20 00:00:00,No Response,2024-02-13 00:00:00,משרד המשפטים,2024-03-06 00:00:00,Unjustified,23.0,Treatment Completed,עמותה,מידע לשנתון סטטיסטי- סיוע משפטי,2024,2,116,0
602, 430/21,Online Form,2021-08-08 00:00:00,No Response,2021-09-14 00:00:00,משרד ראש הממשלה,2022-03-16 00:00:00,Justified,183.0,Treatment Completed,אזרח,"הוצאות אבטחה מלון דן כרמל, לביקור נתניהו",2021,9,37,1
603, 276/24,Online Form,2024-05-05 00:00:00,Lack of Justification,2024-07-28 00:00:00,משטרת ישראל,2024-07-31 00:00:00,Unjustified,3.0,Treatment Completed,אזרח,קבלת רשימת תלונות שהוגשו,2024,7,84,0
604, 428/21,Online Form,2021-08-20 00:00:00,No Response,2021-09-13 00:00:00,משרד החינוך,2022-02-14 00:00:00,Justified,154.0,Treatment Completed,אזרח,מידע על הכשרת מורים למקצוע,2021,9,24,1
605, 80/24,Online Form,2023-05-11 00:00:00,No Response,2024-08-03 00:00:00,משרד המשפטים,2024-03-13 00:00:00,Unjustified,5.0,Treatment Completed,אזרח,אי מתן מענה סמוכין 394563 מתאריך 05.11.23 ,2024,8,450,0
606, 312/23,Online Form,2023-12-06 00:00:00,No Response,2023-06-08 00:00:00,משרד החקלאות ופיתוח הכפר,2023-12-14 00:00:00,Unjustified,130.0,Treatment Completed,אזרח,"אי מתן מענה אורן לביא מנכל לבקשת מידע 375457 """,2023,6,0,0
607, 90/24,Online Form,2024-12-02 00:00:00,No Response,2024-03-14 00:00:00,משרד התחבורה והבטיחות בדרכים,2024-04-03 00:00:00,Unjustified,21.0,Treatment Completed,אזרח,פעילות אוטובוס מס' רישוי 37-789-55,2024,3,0,0
608, 257/24,Online Form,2024-02-15 00:00:00,No Response,2024-07-15 00:00:00,משרד הבריאות,,,29.0,In Treatment,עמותה,נטילת זרע מנפטר - כריתת אשכים,2024,7,151,0
609, 383/21,Online Form,2021-06-21 00:00:00,Lack of Justification,2021-07-08 00:00:00,משרד החינוך,2021-08-09 00:00:00,Unjustified,2.0,Treatment Completed,אזרח,פרטי תתומי  הורים,2021,7,17,0
610, 210/23,Online Form,2023-03-01 00:00:00,No Response,2023-05-30 00:00:00,משרד המשפטים,2023-07-12 00:00:00,Justified,43.0,Treatment Completed,עמותה,נהלים ומדיניות- פרקליטות המדינה,2023,5,90,1
611, 292/23,Online Form,2023-04-05 00:00:00,No Response,2023-07-26 00:00:00,רשות האוכלוסין וההגירה,2023-07-31 00:00:00,Justified,5.0,Treatment Completed,אזרח,גיור בישראל,2023,7,112,1
612, 230/22,Online Form,2022-05-04 00:00:00,Lack of Justification,2022-05-28 00:00:00,משרד הבינוי והשיכון,2022-05-30 00:00:00,Unjustified,2.0,Treatment Completed,אזרח,גילוי מסמכים בעניין הצמדת מדד תשומות הבניה,2022,5,24,0
613, 320/22,Online Form,2021-09-09 00:00:00,No Response,2022-02-08 00:00:00,משרד הבריאות,2023-02-09 00:00:00,Justified,191.0,Treatment Completed,אזרח,דוח ביקורת מלון פלזה - נוף הגליל,2022,2,152,1
614, 135/23,Online Form,2022-11-12 00:00:00,No Response,2023-02-04 00:00:00,צבא הגנה לישראל,2023-06-28 00:00:00,Justified,87.0,Treatment Completed,עמותה,"אי-מתן מענה (מסד)""",2023,2,84,1
615, 638/21,Online Form,2021-12-23 00:00:00,No Response,2021-12-27 00:00:00,משרד הכלכלה,2022-03-10 00:00:00,Unjustified,73.0,Treatment Completed,חברה,מענה לחופש המידע,2021,12,4,0
616, 381/21,Online Form,2021-02-16 00:00:00,No Response,2021-04-08 00:00:00,צבא הגנה לישראל,2022-02-14 00:00:00,Justified,194.0,Treatment Completed,עמותה,נתונים בנוגע לחיילים אוכ' ייחודיות ונתוני נשר,2021,4,51,1
617, 277/23,Online Form,2022-03-20 00:00:00,No Response,2023-07-19 00:00:00,משרד התיירות,2024-02-29 00:00:00,Unjustified,225.0,Treatment Completed,אזרח,אין מתן מענה,2023,7,486,0
618, 374/21,Online Form,2021-03-18 00:00:00,No Response,2021-07-26 00:00:00,משרד הבריאות,2022-02-23 00:00:00,Justified,212.0,Treatment Completed,עמותה,הוצאות קמפיין מגן 2,2021,7,130,1
619, 241/24,Online Form,2024-05-30 00:00:00,No Response,2024-08-07 00:00:00,משרד הבריאות,2024-08-08 00:00:00,Justified,31.0,Treatment Completed,אזרח,תלונה על קבלת מידע שלא על פי החוק,2024,8,69,1
620, 224/24,Online Form,2024-11-02 00:00:00,No Response,2024-06-25 00:00:00,משרד הבריאות,2024-08-12 00:00:00,Justified,48.0,Treatment Completed,עמותה,חיסון הפפילומה - יעילות ותופעות,2024,6,0,1
621, 430/23,Online Form,2023-09-15 00:00:00,No Response,2023-10-14 00:00:00,משרד העבודה הרווחה והשירותים החברתיים,2023-12-18 00:00:00,Unjustified,65.0,Treatment Completed,אזרח,קבלת סיכום טיפול בפניה,2023,10,29,0
622, 348/21,Online Form,2021-02-22 00:00:00,Lack of Justification,2021-07-15 00:00:00,משרד הפנים,2021-08-10 00:00:00,Justified,26.0,Treatment Completed,אזרח,דחיית בקשה לקבלת מידע,2021,7,143,1
623, 195/24,Email,2023-07-12 00:00:00,No Response,2024-05-30 00:00:00,משרד העבודה הרווחה והשירותים החברתיים,2024-06-05 00:00:00,Justified,6.0,Treatment Completed,אזרח,נתונים בנושא המלחמה,2024,5,323,1
624, 108/24,Online Form,2024-02-15 00:00:00,No Response,2024-03-04 00:00:00,משרד החקלאות ופיתוח הכפר,2024-04-17 00:00:00,Justified,13.0,Treatment Completed,אזרח,תוכנית שנתית של פקידי יערות,2024,3,18,1
625, 64/24,Online Form,2023-11-20 00:00:00,No Response,2024-02-14 00:00:00,משרד התחבורה והבטיחות בדרכים,2024-05-15 00:00:00,Justified,84.0,Treatment Completed,אזרח,הפעלת תחבורה ציבורית בשעת חירום,2024,2,86,1
626, 488/22,Online Form,2022-10-22 00:00:00,No Response,2022-12-22 00:00:00,הנהלת בתי המשפט,2022-12-22 00:00:00,Unjustified,0.0,Treatment Completed,אזרח,בקשת מידע צווים שיפוטים,2022,12,61,0
627, 95/22,Online Form,2021-08-31 00:00:00,No Response,2022-03-13 00:00:00,משרד החקלאות ופיתוח הכפר,2022-05-19 00:00:00,Justified,67.0,Treatment Completed,עמותה,ניצול תקציבים,2022,3,194,1
628, 146/24,Online Form,2023-10-22 00:00:00,No Response,2024-06-05 00:00:00,משרד הבינוי והשיכון,2024-06-13 00:00:00,Justified,38.0,Treatment Completed,אזרח,בירור בפרויקט מחיר למשתכן,2024,6,227,1
629, 213/24,Online Form,2024-05-02 00:00:00,No Response,2024-06-20 00:00:00,משרד התחבורה והבטיחות בדרכים,2024-07-31 00:00:00,Justified,41.0,Treatment Completed,אזרח,תוכנית התחבורה הציבורית מואז שדות דן,2024,6,49,1
630, 303/22,Online Form,2022-05-29 00:00:00,No Response,2022-07-20 00:00:00,משרד החינוך,2022-07-28 00:00:00,Justified,8.0,Treatment Completed,אזרח,פרטי מפעילי קייטנות,2022,7,52,1
631, 248/23,Online Form,2022-07-11 00:00:00,No Response,2023-06-26 00:00:00,מתאם פעולות הממשלה בשטחים (מתפש),2023-06-28 00:00:00,Unjustified,3.0,Treatment Completed,עמותה,"נתונים על שריפות פסולת ועל אכיפה סביבתית ביוש""",2023,6,350,0
632, 34/22,Online Form,2021-11-15 00:00:00,No Response,2022-01-28 00:00:00,משרד הבריאות,2022-03-28 00:00:00,Justified,59.0,Treatment Completed,אזרח,הסברה בציבור החרדי,2022,1,74,1
633, 400/23,Online Form,2023-10-07 00:00:00,No Response,2023-07-09 00:00:00,מנהל אזרחי אזור יהודה ושומרון,2023-11-29 00:00:00,Unjustified,83.0,Treatment Completed,אזרח,בניין ארמון הנציב,2023,7,0,0
634, 32/23,Online Form,2022-05-12 00:00:00,No Response,2023-01-31 00:00:00,משרד הבריאות,2023-06-08 00:00:00,Justified,128.0,Treatment Completed,אזרח,בקשה לקבלת מידע ומסמכים בעניינה של המיוצגת ,2023,1,264,1
635, 63/23,Online Form,2023-11-01 00:00:00,No Response,2023-02-19 00:00:00,משרד החינוך,2023-03-29 00:00:00,Justified,38.0,Treatment Completed,אזרח,"השעיית תלמידי חינוך מיוחד בביס האלה במודיעין""",2023,2,0,1
636, 35/23,Online Form,2022-06-12 00:00:00,No Response,2023-06-02 00:00:00,צבא הגנה לישראל,2023-05-11 00:00:00,Justified,94.0,Treatment Completed,עמותה,נתונים אודות פיטורים בעילת צמצום כוחות סדירים,2023,6,355,1
637, 55/22,Online Form,2022-01-31 00:00:00,No Response,2022-02-14 00:00:00,משרד המשפטים,2022-09-11 00:00:00,Justified,209.0,Treatment Completed,אזרח,"ועדת איתור ליועמש""",2022,2,14,1
638, 448/22,Online Form,2022-09-10 00:00:00,No Response,2022-11-24 00:00:00,משרד המשפטים,2022-12-22 00:00:00,Unjustified,28.0,Treatment Completed,אזרח,בקשת מידע,2022,11,75,0
639, 496/23,Email,2023-11-22 00:00:00,No Response,2023-12-24 00:00:00,משרד התחבורה והבטיחות בדרכים,2024-02-14 00:00:00,Justified,52.0,Treatment Completed,אזרח,קבלת מסמכים,2023,12,32,1
640, 428/23,Online Form,2023-04-07 00:00:00,No Response,2023-11-10 00:00:00,משרד ראש הממשלה,2023-12-14 00:00:00,Unjustified,64.0,Treatment Completed,אזרח,אי מתן מענה לבקשת מידע סמוכין 378452   04.07.23   ,2023,11,217,0
641, 307/23,Online Form,2023-06-25 00:00:00,No Response,2023-01-08 00:00:00,רשות האוכלוסין וההגירה,2023-08-10 00:00:00,Justified,9.0,Treatment Completed,אזרח,היתרים להעסקת עובדים זרים,2023,1,0,1
642, 317/23,Online Form,2023-05-25 00:00:00,No Response,2023-09-08 00:00:00,משרד העבודה הרווחה והשירותים החברתיים,2024-03-28 00:00:00,Justified,232.0,Treatment Completed,אזרח,מידע אישי,2023,9,106,1
643, 150/24,Online Form,2024-10-01 00:00:00,No Response,2024-10-05 00:00:00,משרד התחבורה והבטיחות בדרכים,2024-08-12 00:00:00,Justified,95.0,Treatment Completed,אחר,פרטים אודות מכון הדרום,2024,10,4,1
644, 406/23,Email,2023-02-08 00:00:00,No Response,2023-11-09 00:00:00,מינהל התכנון,2023-09-12 00:00:00,Unjustified,1.0,Treatment Completed,אזרח,"מינוי דר אורית ניר""",2023,11,274,0
645, 276/22,Online Form,2022-07-02 00:00:00,No Response,2022-06-22 00:00:00,משרד הבריאות,2022-09-11 00:00:00,Justified,81.0,Treatment Completed,אזרח,תגובות לתלונות,2022,6,0,1
646, 405/23,Email,2023-02-08 00:00:00,No Response,2023-11-09 00:00:00,מינהל התכנון,2024-04-04 00:00:00,Unjustified,206.0,Treatment Completed,אזרח,"קבלת חווד בתת""ל 108""",2023,11,274,0
647, 122/22,Online Form,2021-09-08 00:00:00,No Response,2022-03-24 00:00:00,משרד הבריאות,2022-04-13 00:00:00,Justified,20.0,Treatment Completed,אזרח,פנייתי לחוק חופש המידע במשרד הבריאות 283829,2022,3,197,1
648, 263/23,Email,2022-10-22 00:00:00,No Response,2023-06-07 00:00:00,משרד העבודה הרווחה והשירותים החברתיים,2023-08-31 00:00:00,Unjustified,56.0,Treatment Completed,אזרח,מידע על התנהלות הוועדה,2023,6,228,0
649, 404/22,Online Form,2022-04-27 00:00:00,No Response,2022-10-16 00:00:00,צבא הגנה לישראל,2023-05-03 00:00:00,Justified,199.0,Treatment Completed,אזרח,"נתונים אודות חיילים בודדים בצהל""",2022,10,172,1
650, 240/23,Email,2022-08-28 00:00:00,No Response,2023-06-19 00:00:00,המשרד להגנת הסביבה,2023-08-01 00:00:00,Justified,40.0,Treatment Completed,אזרח,השלכות מקווי מתח עיליים,2023,6,295,1
651, 39/23,Online Form,2023-06-01 00:00:00,No Response,2023-07-02 00:00:00,משרד האוצר,2023-06-08 00:00:00,Unjustified,121.0,Treatment Completed,עמותה,"פעילות משרד האוצר ביחס לפנסיה הצוברת בצהל""",2023,7,31,0
652, 51/24,Online Form,2023-07-11 00:00:00,No Response,2024-07-02 00:00:00,צבא הגנה לישראל,2024-04-15 00:00:00,Justified,68.0,Treatment Completed,אזרח,"קבלת הצו על הצבת שלט שטח צבאי סגור"" בשטח פרטי""",2024,7,357,1
653, 119/22,Online Form,2022-06-02 00:00:00,No Response,2022-03-23 00:00:00,רשות מקרקעי ישראל,2022-03-31 00:00:00,Unjustified,8.0,Treatment Completed,אזרח,הקצאת מקרקעין,2022,3,0,0
654, 199/23,Email,2023-10-02 00:00:00,No Response,2023-05-24 00:00:00,משרד המשפטים,2023-06-07 00:00:00,Justified,14.0,Treatment Completed,אזרח,"יפוכ יועמ""ש""",2023,5,0,1
655, 213/23,Online Form,2023-02-21 00:00:00,No Response,2023-05-31 00:00:00,משרד העבודה הרווחה והשירותים החברתיים,2023-07-13 00:00:00,Justified,43.0,Treatment Completed,אזרח,נשים מאוימות בלוד,2023,5,99,1
656, 82/24,Online Form,2023-12-18 00:00:00,No Response,2024-09-03 00:00:00,משרד החקלאות ופיתוח הכפר,2024-03-27 00:00:00,Justified,18.0,Treatment Completed,עמותה,דיג מכמורת לצרכי מחקר מצפון לדור,2024,9,260,1
657, 613/21,Online Form,2021-04-11 00:00:00,No Response,2021-12-16 00:00:00,הנהלת בתי הדין הרבניים,2022-02-09 00:00:00,Justified,55.0,Treatment Completed,אזרח,מניעת נישואי קרובים- בנק הזרע,2021,12,249,1
658, 131/24,Online Form,2024-02-26 00:00:00,No Response,2024-04-30 00:00:00,משרד המשפטים,2024-05-06 00:00:00,Unjustified,6.0,Treatment Completed,אזרח,כתבי אישום בעבירות הסתה  לפי דת,2024,4,64,0
659, 493/23,Online Form,2023-10-13 00:00:00,No Response,2023-12-13 00:00:00,משרד המשפטים,2023-12-14 00:00:00,Unjustified,1.0,Treatment Completed,אזרח,אי מתן מענה  סמוכין 392585 מתאריך 13.10.23 ,2023,12,61,0
660, 108/22,Online Form,2022-05-01 00:00:00,No Response,2022-03-20 00:00:00,משרד הבריאות,2022-04-11 00:00:00,Justified,22.0,Treatment Completed,אזרח,קבלת הוראת נוהל,2022,3,0,1
661, 99/23,Email,2023-12-01 00:00:00,No Response,2023-02-28 00:00:00,משרד הבינוי והשיכון,2023-03-09 00:00:00,Justified,4.0,Treatment Completed,אזרח,הוראת שעה- מיצוי כושר השתכרות,2023,2,0,1
662, 140/24,Online Form,2023-08-20 00:00:00,No Response,2024-02-05 00:00:00,רשות מקרקעי ישראל,2024-07-25 00:00:00,Unjustified,84.0,Treatment Completed,אזרח,מידע דחוף,2024,2,169,0
663, 294/22,Online Form,2022-03-22 00:00:00,No Response,2022-07-13 00:00:00,משטרת ישראל,2022-08-28 00:00:00,Justified,46.0,Treatment Completed,אזרח,נהלי חקירת ירי,2022,7,113,1
664, 200/22,Email,2021-01-25 00:00:00,Lack of Justification,2022-09-05 00:00:00,רשות המסים בישראל,2022-08-01 00:00:00,Justified,84.0,Treatment Completed,עמותה,בקשה לקבלת המקור החוקי מכוחו מנקים מס הכנסה מעובדים תושבי הרשות הפלסטינית,2022,9,588,1
665, 394/23,Online Form,2023-03-29 00:00:00,No Response,2023-04-09 00:00:00,שירות בתי הסוהר,2024-01-24 00:00:00,Justified,143.0,Treatment Completed,עמותה,אסירים זרים,2023,4,11,1
666, 325/23,Online Form,2022-04-19 00:00:00,No Response,2023-08-14 00:00:00,משרד התיירות,2024-03-07 00:00:00,Justified,206.0,Treatment Completed,אזרח,מידע דחוף,2023,8,482,1
667, 5/22,Online Form,2021-05-27 00:00:00,No Response,2022-03-01 00:00:00,משרד הבריאות,2022-05-26 00:00:00,Justified,143.0,Treatment Completed,אחר,וועדת ההיגוי לטיפול במרחבים סגורים ,2022,3,278,1
668, 225/24,Online Form,2024-03-14 00:00:00,No Response,2024-06-26 00:00:00,משרד העבודה הרווחה והשירותים החברתיים,2024-07-03 00:00:00,Justified,7.0,Treatment Completed,עמותה,"יישום החלטת ממשלה 1226 - הוקרה, סיוע ותגמול לחיילי מילואים המשרתים במלחמת חרבות ברזל"" ותיקון החלטת ממשלה""",2024,6,104,1
669, 97/24,Online Form,2023-09-19 00:00:00,No Response,2024-03-17 00:00:00,משרד העבודה הרווחה והשירותים החברתיים,2024-05-29 00:00:00,Justified,73.0,Treatment Completed,אזרח,עגורנאים,2024,3,180,1
670, 141/23,Online Form,2022-11-16 00:00:00,No Response,2023-03-04 00:00:00,משרד הבריאות,2023-09-07 00:00:00,Justified,157.0,Treatment Completed,אזרח,מסמכים ביחס לדיווח על אשפוזו ומותו של איתי למברסקי,2023,3,108,1
671, 581/21,Online Form,2021-01-09 00:00:00,No Response,2021-11-18 00:00:00,משרד העבודה הרווחה והשירותים החברתיים,2021-11-24 00:00:00,Unjustified,6.0,Treatment Completed,חברה,מינויים כמנהל עבודה באתרים,2021,11,313,0
672, 574/21,Online Form,2021-07-18 00:00:00,No Response,2021-06-11 00:00:00,משרד הבריאות,2022-03-28 00:00:00,Justified,142.0,Treatment Completed,אזרח,11 שאלות בנושא הקורונה,2021,6,0,1
673, 366/23,Online Form,2023-07-23 00:00:00,No Response,2023-08-24 00:00:00,משרד החינוך,2023-08-30 00:00:00,Unjustified,6.0,Treatment Completed,עמותה,פיילוט הסעות בחינוך המיוחד,2023,8,32,0
674, 605/21,Online Form,2021-08-24 00:00:00,No Response,2021-07-12 00:00:00,צבא הגנה לישראל,2022-02-14 00:00:00,Justified,69.0,Treatment Completed,אזרח,"דין משמעתי של חיילי צהל""",2021,7,0,1
675, 569/21,Online Form,2021-02-08 00:00:00,No Response,2021-01-11 00:00:00,הנהלת בתי הדין הרבניים,2022-03-16 00:00:00,Justified,135.0,Treatment Completed,אזרח,"הוצאות משפט""""",2021,1,0,1
676, 596/21,Online Form,2021-02-05 00:00:00,No Response,2021-11-26 00:00:00,המשרד להגנת הסביבה,2022-05-26 00:00:00,Justified,182.0,Treatment Completed,אחר,אכיפה ורגולציה בענפי החקלאות מהחי,2021,11,294,1
677, 8/23,Online Form,2022-11-23 00:00:00,No Response,2023-08-01 00:00:00,המשרד להגנת הסביבה,2024-05-22 00:00:00,Unjustified,500.0,Treatment Completed,אזרח,מסדרון וצוואר בקבוק אקולוגי גדרה,2023,8,251,0
678, 74/23,Online Form,2022-12-28 00:00:00,No Response,2023-01-03 00:00:00,משרד הבריאות,2023-06-15 00:00:00,Justified,106.0,Treatment Completed,עמותה,חלופות ניסויים משרד הבריאות,2023,1,6,1
679, 3/24,Online Form,2023-09-19 00:00:00,No Response,2024-02-01 00:00:00,המשרד להגנת הסביבה,2024-01-18 00:00:00,Unjustified,16.0,Treatment Completed,עמותה,דוחות נתוני איכות אויר,2024,2,135,0
680, 298/23,Online Form,2023-06-15 00:00:00,No Response,2023-07-27 00:00:00,משרד המשפטים,2023-08-24 00:00:00,Justified,28.0,Treatment Completed,עמותה,עיון בהקדש,2023,7,42,1
681, 58/24,Online Form,2024-05-02 00:00:00,No Response,2024-02-14 00:00:00,משרד המשפטים,2024-02-15 00:00:00,Unjustified,1.0,Treatment Completed,אזרח,חופש מידע ,2024,2,0,0
682, 231/23,Online Form,2023-10-05 00:00:00,No Response,2023-06-15 00:00:00,משרד החינוך,2023-07-06 00:00:00,Justified,21.0,Treatment Completed,עמותה,קיצור ימי לימודים תשפג,2023,6,0,1
683, 33/24,Online Form,2023-12-27 00:00:00,No Response,2024-01-02 00:00:00,המשרד לביטחון פנים,2024-02-29 00:00:00,Justified,28.0,Treatment Completed,אזרח,נתונים על בקשות לקבלת רשיון נשק,2024,1,6,1
684, 162/22,Online Form,2021-11-21 00:00:00,No Response,2022-04-13 00:00:00,משרד העבודה הרווחה והשירותים החברתיים,2022-09-11 00:00:00,Justified,151.0,Treatment Completed,חברה,אישור או התנגדות למינוי מנהלי עבודה בבנייה,2022,4,143,1
685, 255/22,Online Form,2022-02-23 00:00:00,No Response,2022-06-13 00:00:00,צבא הגנה לישראל,2022-09-04 00:00:00,Justified,83.0,Treatment Completed,עמותה,"נתונים תגמולים אלמנות צהל""",2022,6,110,1
686, 134/23,Online Form,2023-01-22 00:00:00,No Response,2023-02-04 00:00:00,צבא הגנה לישראל,2023-08-10 00:00:00,Justified,130.0,Treatment Completed,עמותה,אי-מתן מענה,2023,2,13,1
687, 568/21,Online Form,2021-11-07 00:00:00,No Response,2021-01-11 00:00:00,משרד החינוך,2022-03-06 00:00:00,Justified,125.0,Treatment Completed,אזרח,"תיק אישי המלא במשרד החינוך – כלל המסמכים, מכל תקופה, המצויים במשרד החינוך",2021,1,0,1
688, 89/24,Online Form,2024-11-02 00:00:00,No Response,2024-03-14 00:00:00,משרד התחבורה והבטיחות בדרכים,2024-05-22 00:00:00,Justified,70.0,Treatment Completed,אזרח,נוהל פריסת פקחים בקווי עליה מכל הדלתות,2024,3,0,1
689, 145/23,Online Form,2023-03-15 00:00:00,No Response,2023-04-16 00:00:00,משרד התחבורה והבטיחות בדרכים,2023-12-18 00:00:00,Justified,246.0,Treatment Completed,אזרח,פרוטוקול ועדת האכיפה,2023,4,32,1
690, 123/22,Online Form,2021-08-23 00:00:00,No Response,2022-03-24 00:00:00,משרד הבריאות,2022-05-09 00:00:00,Unjustified,46.0,Treatment Completed,אזרח,פנייה מספר 285393,2022,3,213,0
691, 507/21,Online Form,2021-09-17 00:00:00,No Response,2021-10-24 00:00:00,הרשות הארצית לכבאות והצלה,2022-03-10 00:00:00,Justified,137.0,Treatment Completed,עמותה,התקציב שהקצתה הרשות לנושא של שיט וסירות בשנים 2007 עד 2021,2021,10,37,1
692, 506/21,Online Form,2021-05-23 00:00:00,No Response,2021-10-24 00:00:00,הרשות הארצית לכבאות והצלה,2022-03-10 00:00:00,Justified,137.0,Treatment Completed,עמותה,פניות למוקד הכבאות שנעשו בעכו ברמלה ובלוד בתאריכים9/5/21 ועד 17/5/21 .,2021,10,154,1
693, 180/22,Online Form,2022-10-03 00:00:00,No Response,2022-04-25 00:00:00,המשרד להגנת הסביבה,2022-05-16 00:00:00,Unjustified,21.0,Treatment Completed,אזרח,בקשה לקבלת סיכום פגישה קמין עצים,2022,4,0,0
694, 505/21,Online Form,2021-08-24 00:00:00,No Response,2021-10-24 00:00:00,הרשות הארצית לכבאות והצלה,2022-03-24 00:00:00,Justified,151.0,Treatment Completed,עמותה,מספר מקרי שריפה שנחקרו בשנים 2015-2021 בחשד להצתה,2021,10,61,1
695, 495/21,Online Form,2021-11-08 00:00:00,No Response,2021-10-19 00:00:00,משרד הבריאות,2021-10-27 00:00:00,Unjustified,8.0,Treatment Completed,אזרח,שאלות לגבי בידוד הווירוס והווריאנטים ,2021,10,0,0
696, 478/21,Online Form,2021-11-10 00:00:00,No Response,2021-11-10 00:00:00,משטרת ישראל,2021-11-07 00:00:00,Partially Justified,27.0,Treatment Completed,עמותה,תנאי ביקור הנהוגים בהר הבית,2021,11,0,0
697, 152/22,Online Form,2021-11-23 00:00:00,No Response,2022-06-04 00:00:00,משרד החקלאות ופיתוח הכפר,2022-08-01 00:00:00,Justified,117.0,Treatment Completed,אזרח,קבלת חומרים נלווים בנוגע לפרסום,2022,6,193,1
698, 421/21,Online Form,2021-05-31 00:00:00,No Response,2021-02-09 00:00:00,משטרת ישראל,2021-11-03 00:00:00,Justified,62.0,Treatment Completed,אזרח,קבלת מידע בעניין כתבי אישו כנגד מי שרכב על גבי אופניים רגילות (לא חשמליים) במצב של שכרות,2021,2,0,1
699, 420/21,Online Form,2021-07-15 00:00:00,No Response,2021-02-09 00:00:00,רשות המסים בישראל,2021-10-21 00:00:00,Unjustified,49.0,Treatment Completed,אחר,נתוני הכרה של גופים לפי סעיף 46 א,2021,2,0,0
700, 273/23,Online Form,2022-09-24 00:00:00,No Response,2023-07-14 00:00:00,המשרד להגנת הסביבה,2023-07-25 00:00:00,Justified,11.0,Treatment Completed,עמותה,פעילות מוקד הסביבה,2023,7,293,1
