_id,מספר התלונה,תאריך הגשת הבקשה למידע,תאריך קבלת תלונה,ערוץ קבלת תלונה,סוג המתלונן,שם המתלונן,נושא התלונה,שם הנילון,נושא בקשת חופש מידע,סטטוס,החלטה,תאריך סיום טיפול,מספר ימי טיפול
235, 3/24,2023-09-19 00:00:00,2024-02-01 00:00:00,טופס מקוון,עמותה,מרכז טאוב לחקר המדיניות החברתית בישראל,אי מתן מענה,המשרד להגנת הסביבה,דוחות נתוני איכות אויר,סיום טיפול,בלתי מוצדק,18/01/2024,16
236, 298/23,2023-06-15 00:00:00,2023-07-27 00:00:00,טופס מקוון,עמותה,"איחוד הישיבות בארי""",אי מתן מענה,משרד המשפטים,עיון בהקדש,סיום טיפול,מוצדק,24/08/2023,28
237, 58/24,2024-05-02 00:00:00,2024-02-14 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד המשפטים,חופש מידע ,סיום טיפול,בלתי מוצדק,15/02/2024,1
238, 231/23,2023-10-05 00:00:00,2023-06-15 00:00:00,טופס מקוון,עמותה,"אלוט""",אי מתן מענה,משרד החינוך,קיצור ימי לימודים תשפג,סיום טיפול,מוצדק,06/07/2023,21
239, 33/24,2023-12-27 00:00:00,2024-01-02 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,המשרד לביטחון לאומי,נתונים על בקשות לקבלת רשיון נשק,סיום טיפול,מוצדק,29/02/2024,28
240, 162/22,2021-11-21 00:00:00,2022-04-13 00:00:00,טופס מקוון,חברה,,אי מתן מענה,משרד הרווחה והשירותים החברתיים,אישור או התנגדות למינוי מנהלי עבודה בבנייה,סיום טיפול,מוצדק,11/09/2022,151
241, 255/22,2022-02-23 00:00:00,2022-06-13 00:00:00,טופס מקוון,עמותה,"ארגון אלמנות ויתומי צהל""",אי מתן מענה,"צהל""","נתונים תגמולים אלמנות צהל""",סיום טיפול,מוצדק,04/09/2022,83
242, 134/23,2023-01-22 00:00:00,2023-02-04 00:00:00,טופס מקוון,עמותה,"איחוד הישיבות בארי""",אי מתן מענה,"צהל""",אי-מתן מענה,סיום טיפול,מוצדק,10/08/2023,130
243, 568/21,2021-11-07 00:00:00,2021-01-11 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד החינוך,"תיק אישי המלא במשרד החינוך – כלל המסמכים, מכל תקופה, המצויים במשרד החינוך",סיום טיפול,מוצדק,06/03/2022,125
244, 89/24,2024-11-02 00:00:00,2024-03-14 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד התחבורה והבטיחות בדרכים,נוהל פריסת פקחים בקווי עליה מכל הדלתות,סיום טיפול,מוצדק,22/05/2024,70
245, 145/23,2023-03-15 00:00:00,2023-04-16 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד התחבורה והבטיחות בדרכים,פרוטוקול ועדת האכיפה,סיום טיפול,מוצדק,18/12/2023,246
246, 123/22,2021-08-23 00:00:00,2022-03-24 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,פנייה מספר 285393,סיום טיפול,בלתי מוצדק,09/05/2022,46
247, 507/21,2021-09-17 00:00:00,2021-10-24 00:00:00,טופס מקוון,עמותה,מוסרי ארגון זכויות אדם יהודי,אי מתן מענה,הרשות הארצית לכבאות והצלה,התקציב שהקצתה הרשות לנושא של שיט וסירות בשנים 2007 עד 2021,סיום טיפול,מוצדק,10/03/2022,137
248, 506/21,2021-05-23 00:00:00,2021-10-24 00:00:00,טופס מקוון,עמותה,מוסרי ארגון זכויות אדם יהודי,אי מתן מענה,הרשות הארצית לכבאות והצלה,פניות למוקד הכבאות שנעשו בעכו ברמלה ובלוד בתאריכים9/5/21 ועד 17/5/21 .,סיום טיפול,מוצדק,10/03/2022,137
249, 180/22,2022-10-03 00:00:00,2022-04-25 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,המשרד להגנת הסביבה,בקשה לקבלת סיכום פגישה קמין עצים,סיום טיפול,בלתי מוצדק,16/05/2022,21
250, 505/21,2021-08-24 00:00:00,2021-10-24 00:00:00,טופס מקוון,עמותה,מוסרי ארגון זכויות אדם יהודי,אי מתן מענה,הרשות הארצית לכבאות והצלה,מספר מקרי שריפה שנחקרו בשנים 2015-2021 בחשד להצתה,סיום טיפול,מוצדק,24/03/2022,151
251, 495/21,2021-11-08 00:00:00,2021-10-19 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,שאלות לגבי בידוד הווירוס והווריאנטים ,סיום טיפול,בלתי מוצדק,27/10/2021,8
252, 478/21,2021-11-10 00:00:00,2021-11-10 00:00:00,טופס מקוון,עמותה,לביא,אי מתן מענה,משטרת ישראל,תנאי ביקור הנהוגים בהר הבית,סיום טיפול,מוצדק חלקית,07/11/2021,27
253, 152/22,2021-11-23 00:00:00,2022-06-04 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד החקלאות ופיתוח הכפר,קבלת חומרים נלווים בנוגע לפרסום,סיום טיפול,מוצדק,01/08/2022,117
254, 421/21,2021-05-31 00:00:00,2021-02-09 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משטרת ישראל,קבלת מידע בעניין כתבי אישו כנגד מי שרכב על גבי אופניים רגילות (לא חשמליים) במצב של שכרות,סיום טיפול,מוצדק,03/11/2021,62
255, 420/21,2021-07-15 00:00:00,2021-02-09 00:00:00,טופס מקוון,אחר,,אי מתן מענה,רשות המסים בישראל,נתוני הכרה של גופים לפי סעיף 46 א,סיום טיפול,בלתי מוצדק,21/10/2021,49
256, 273/23,2022-09-24 00:00:00,2023-07-14 00:00:00,טופס מקוון,עמותה,אזרחים למען אוויר נקי,אי מתן מענה,המשרד להגנת הסביבה,פעילות מוקד הסביבה,סיום טיפול,מוצדק,25/07/2023,11
257, 285/22,2022-05-15 00:00:00,2022-06-30 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד החינוך,בירור לגבי העברת מענק מיוחד,סיום טיפול,מוצדק,05/07/2022,5
258, 422/22,2022-05-22 00:00:00,2022-04-11 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,מחלת פוליו בארץ,סיום טיפול,מוצדק,04/05/2023,181
259, 385/22,2022-07-17 00:00:00,2022-09-18 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,מידע חייב בפרסום לעניין אישי,סיום טיפול,מוצדק,03/05/2023,227
260, 138/23,2021-06-21 00:00:00,2023-03-04 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,פעילות הדסק החרדי בקורונה,סיום טיפול,מוצדק,10/08/2023,129
261, 408/22,2022-05-09 00:00:00,2022-10-18 00:00:00,טופס מקוון,אחר,,אי מתן מענה,רשות החברות הממשלתיות, פרטים על הוועדה המייעצת בנושא מינוי דירקטורים,סיום טיפול,בלתי מוצדק,23/04/2023,187
262, 289/22,2022-02-15 00:00:00,2022-06-07 00:00:00,טופס מקוון,אחר,,אי מתן מענה,משרד הבריאות,מידע לגבי יבוא טובין,סיום טיפול,מוצדק,11/09/2022,67
263, 244/24,2024-02-05 00:00:00,2024-11-07 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הפנים,נתונים לגבי תווי המזון - סבב שני ,סיום טיפול,בלתי מוצדק,15/07/2024,4
264, 137/23,2023-01-15 00:00:00,2023-03-04 00:00:00,טופס מקוון,עמותה,החברה להגנת הטבע,אי מתן מענה,משרד החקלאות ופיתוח הכפר,אגף הדיג,סיום טיפול,מוצדק,10/07/2023,99
265, 118/22,2022-09-02 00:00:00,2022-03-23 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,החלטות בדבר בנק הדם,סיום טיפול,מוצדק,26/05/2022,64
266, 426/22,2022-05-09 00:00:00,2022-10-11 00:00:00,טופס מקוון,אחר,,אי מתן מענה,רשות החברות הממשלתיות,אי מתן מענה גם אחרי ארכה,סיום טיפול,מוצדק,23/04/2023,164
267, 375/22,2022-04-07 00:00:00,2022-05-09 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,"צהל""",מידע על התנהלות בשער שני במודל הקבע,סיום טיפול,מוצדק,04/05/2023,241
268, 278/23,2022-10-02 00:00:00,2023-07-19 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד התיירות,בקשת מידע,סיום טיפול,בלתי מוצדק,29/02/2024,225
269, 40/23,2022-09-23 00:00:00,2023-07-02 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,"מתאם פעולות הממשלה בשטחים (מתפש)""",מספר הפלסטינים בגדה המערבית וברצועת עזה,סיום טיפול,מוצדק,19/02/2023,12
270, 374/22,2022-08-31 00:00:00,2022-04-09 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הביטחון,מידע על אגף שיקום נכים במשהבט,סיום טיפול,בלתי מוצדק,08/09/2022,4
271, 140/23,2022-12-18 00:00:00,2023-03-04 00:00:00,טופס מקוון,עמותה,מגן ביטחון,אי מתן מענה,"צהל""","פגישות נציגי צהל עם נציגי משרד האוצר בנושא תקנות """,סיום טיפול,מוצדק,10/07/2023,98
272, 248/22,2022-07-02 00:00:00,2022-08-06 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,הוספת סטודנטים לרפואה,סיום טיפול,מוצדק,01/08/2022,55
273, 441/23,2023-01-03 00:00:00,2023-10-27 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד האוצר,אי מתן מענה סמוכין 361890 מתאריך 01.03.23 ,סיום טיפול,בלתי מוצדק,14/12/2023,48
274, 399/22,2022-08-28 00:00:00,2022-02-10 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד החינוך,נהלי טראנסג'נדרים ,סיום טיפול,מוצדק,20/04/2023,200
275, 256/24,2024-09-06 00:00:00,2024-07-15 00:00:00,טופס מקוון,אזרח,,חוסר בהנמקה,משטרת ישראל,הסדר ניגוד עניינים,סיום טיפול,בלתי מוצדק,08/08/2024,24
276, 353/22,2022-01-06 00:00:00,2022-08-22 00:00:00,טופס מקוון,עמותה,"איחוד הישיבות בארי""",אי מתן מענה,"צהל""",קביעת תאריך גיוס,סיום טיפול,מוצדק,21/09/2022,30
277, 119/24,2023-09-11 00:00:00,2024-04-15 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד המשפטים,אי מתן מענה סמוכין 395069 תאריך 09.11.23 ,סיום טיפול,בלתי מוצדק,15/04/2024,0
278, 425/23,2023-07-19 00:00:00,2023-09-29 00:00:00,טופס מקוון,אזרח,,פרסום הנחיות מנהליות,המשרד להגנת הסביבה,,סיום טיפול,בלתי מוצדק,10/01/2024,103
279, 69/22,2022-01-16 00:00:00,2022-02-20 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,אי מתן מענה בבקשה לקבלת מידע על פי חוק,סיום טיפול,מוצדק,26/05/2022,95
280, 467/23,2023-11-08 00:00:00,2023-07-11 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד החקלאות ופיתוח הכפר,אי מתן מענה לבקשה 11.08.23 סמוכין  384552 ,סיום טיפול,בלתי מוצדק,14/12/2023,37
281, 6/22,2022-04-01 00:00:00,2022-04-01 00:00:00,טופס מקוון,אזרח,,פרסום הנחיות מנהליות,משרד התיירות,,סיום טיפול,בלתי מוצדק,10/03/2022,65
282, 417/21,2021-06-21 00:00:00,2021-12-08 00:00:00,דואר אלקטרוני,אזרח,,חוסר בהנמקה,רשות מקרקעי ישראל,"אדמות יהודים ביוש""",סיום טיפול,מוצדק,03/11/2021,63
283, 220/24,2024-02-19 00:00:00,2024-06-24 00:00:00,טופס מקוון,עמותה,העמותה הקהילתית גבעת מרדכי,אי מתן מענה,משרד הבריאות,פירוט התקשרויות מאושרות למחקר,סיום טיפול,מוצדק,12/08/2024,49
284, 204/22,2022-01-19 00:00:00,2022-10-05 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד האוצר,"נתוני משפטנים בצהל""",סיום טיפול,מוצדק,08/06/2022,29
285, 412/21,2021-08-19 00:00:00,2021-08-30 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הכלכלה,מידע על הוועדה המייעצת להעברת מעונות היום,סיום טיפול,בלתי מוצדק,03/11/2021,65
286, 204/23,2023-03-23 00:00:00,2023-05-25 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד החינוך,בירור אפלייה ותנאי רפורמת אופק חדש,סיום טיפול,מוצדק,24/07/2023,61
287, 71/23,2022-09-24 00:00:00,2023-02-28 00:00:00,טופס מקוון,עמותה,אזרחים למען אוויר נקי,אי מתן מענה,הרשות הארצית לכבאות והצלה,שריפות פסולת,סיום טיפול,מוצדק,14/12/2023,290
288, 221/24,2023-01-29 00:00:00,2024-06-25 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,מסמכים לגבי החיסון מותאם אומיקרון,סיום טיפול,מוצדק,12/08/2024,48
289, 397/21,2020-01-01 00:00:00,2021-08-16 00:00:00,טופס מקוון,עמותה,עתים,אי מתן מענה,הנהלת בתי הדין הרבניים, 9 בקשות שונות שלא נענו מאז 2020,סיום טיפול,מוצדק,16/03/2022,212
290, 201/22,2022-11-04 00:00:00,2022-09-05 00:00:00,טופס מקוון,אזרח,,אגרות,משרד התחבורה והבטיחות בדרכים, מידע ממאגר,סיום טיפול,מוצדק,25/07/2022,77
291, 476/22,2022-05-17 00:00:00,2022-11-12 00:00:00,טופס מקוון,אחר,,אי מתן מענה,משרד החינוך,אמיר לנציאנו,סיום טיפול,מוצדק,16/02/2023,67
292, 164/22,2022-01-19 00:00:00,2022-04-14 00:00:00,טופס מקוון,חברה,,אי מתן מענה,משרד הבינוי והשיכון,שימועים בגין עבירות בטיחות – רשם הקבלנים,סיום טיפול,בלתי מוצדק,28/04/2022,14
293, 247/23,2022-06-09 00:00:00,2023-06-26 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,הרבנות הראשית לישראל,העלמת מידע ,סיום טיפול,בלתי מוצדק,31/07/2023,36
294, 8/24,2023-05-09 00:00:00,2024-07-01 00:00:00,טופס מקוון,עמותה,מרכז טאוב לחקר המדיניות החברתית בישראל,חוסר בהנמקה,משרד החינוך,מבחן מחוננים,סיום טיפול,מוצדק,18/01/2024,11
295, 182/23,2023-01-29 00:00:00,2023-11-05 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד האוצר,קבלת העתק מסמך תשובת שר האוצר,סיום טיפול,בלתי מוצדק,13/07/2023,63
296, 18/24,2024-12-01 00:00:00,2024-01-14 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,מנהל אזרחי אזור יהודה ושומרון,פסקי דין מאושרים לצו 348,סיום טיפול,מוצדק,07/03/2024,53
297, 255/24,2024-03-25 00:00:00,2024-07-15 00:00:00,טופס מקוון,עמותה,מוסרי ארגון זכויות אדם יהודי,אי מתן מענה,משרד המשפטים,צו הורות פסיקתי,בטיפול,,,29
298, 272/23,2022-09-24 00:00:00,2023-07-14 00:00:00,טופס מקוון,עמותה,אזרחים למען אוויר נקי,אי מתן מענה,המשרד להגנת הסביבה,פעילות המשטרה הירוקה,סיום טיפול,מוצדק,31/08/2023,48
299, 395/21,2021-12-08 00:00:00,2021-08-16 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד התחבורה והבטיחות בדרכים,תקצוב משרד התחבורה פרויקטים תחבורתיים וסובסידיות ב,סיום טיפול,בלתי מוצדק,17/08/2021,1
300, 404/23,2023-04-20 00:00:00,2023-11-09 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,אצוות חיסון פייזר,סיום טיפול,מוצדק,10/01/2024,121
301, 215/22,2021-04-12 00:00:00,2022-05-18 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,מנהל אזרחי אזור יהודה ושומרון,פעולות אכיפה בתחום איכות הסביבה,סיום טיפול,מוצדק,01/06/2022,14
302, 387/21,2021-02-15 00:00:00,2021-09-08 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,פניה מס' 643068 ופניה מספר 644187,סיום טיפול,מוצדק,16/03/2022,219
303, 70/22,2021-12-14 00:00:00,2022-02-20 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד ראש הממשלה,עלות חכירת מטוס מסחרי לטיסות,סיום טיפול,מוצדק,26/05/2022,95
304, 166/24,2023-12-02 00:00:00,2024-05-20 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,אופן חישוב השתתפות בדמי אשפוז,סיום טיפול,מוצדק,01/07/2024,42
305, 51/22,2021-09-09 00:00:00,2022-10-02 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,המשרד להגנת הסביבה,רותם אמפרט,סיום טיפול,מוצדק,26/05/2022,105
306, 411/22,2022-09-18 00:00:00,2022-10-19 00:00:00,טופס מקוון,עמותה,תחרות - התנועה לחירות בתעסוקה,אי מתן מענה,משרד החינוך,פרטים על מורי החטיבות העליונות,סיום טיפול,מוצדק,03/05/2023,196
307, 259/24,2024-03-13 00:00:00,2024-07-15 00:00:00,טופס מקוון,עמותה,מוסרי ארגון זכויות אדם יהודי,אי מתן מענה,"צהל""",כריתת אשך ללא הסכמה,בטיפול,,,29
308, 393/22,2022-07-16 00:00:00,2022-09-20 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הכלכלה,מתן חסויות על ידי משרד הכלכלה ועובדי ציברר ממשרד ה,סיום טיפול,בלתי מוצדק,04/05/2023,226
309, 72/22,2022-02-22 00:00:00,2022-02-22 00:00:00,טופס מקוון,עמותה,תנו לחיות לחיות,אי מתן מענה,משרד הבריאות,חלופות ניסויים משרד הבריאות,סיום טיפול,מוצדק,12/04/2022,49
310, 31/23,2022-02-12 00:00:00,2023-01-27 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,הרשות הארצית לכבאות והצלה,הנילונה לא מסרה את המסמכים המבוקשים,סיום טיפול,מוצדק,10/07/2023,164
311, 439/22,2022-06-27 00:00:00,2022-11-20 00:00:00,טופס מקוון,אזרח,,חוסר בהנמקה,האפוטרופוס הכללי והכונס הרשמי,חופש מידע,סיום טיפול,בלתי מוצדק,18/05/2023,179
312, 72/23,2022-09-26 00:00:00,2023-02-28 00:00:00,טופס מקוון,עמותה,אזרחים למען אוויר נקי,חוסר בהנמקה,משרד החקלאות ופיתוח הכפר,שריפות גזם ופסולת חקלאית,סיום טיפול,מוצדק,07/09/2023,192
313, 375/21,2021-01-27 00:00:00,2021-07-27 00:00:00,דואר אלקטרוני,אזרח,,אי מתן מענה,משטרת ישראל,רישום משטרתי ליוצאי אתיופיה,סיום טיפול,מוצדק,30/08/2021,34
314, 91/22,2022-06-02 00:00:00,2022-10-03 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד החינוך,מעקב תהליכים - שאלון,סיום טיפול,מוצדק,29/03/2022,19
315, 27/23,2022-12-12 00:00:00,2023-01-22 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הפנים,בקשה למידע ציבורי- הקצאות מקרקעין,סיום טיפול,מוצדק חלקית,14/12/2023,326
316, 112/22,2022-03-01 00:00:00,2022-03-22 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד התיירות,הקצאת מקרקעין,סיום טיפול,מוצדק,27/04/2022,36
317, 367/22,2022-10-05 00:00:00,2022-08-29 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,"צהל""","נתונים על אירועים לבבים בצהל בשנים 18-21""",סיום טיפול,מוצדק,04/05/2023,248
318, 629/21,2021-04-30 00:00:00,2021-12-23 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הרווחה והשירותים החברתיים,מידע בנושא מעבר מבחני רשיונות,סיום טיפול,מוצדק,07/02/2022,46
319, 614/21,2021-10-21 00:00:00,2021-12-17 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,"מתאם פעולות הממשלה בשטחים (מתפש)""",מידע בנוגע לפעילות יחידת הפיקוח,סיום טיפול,בלתי מוצדק,09/03/2022,83
320, 234/24,2023-07-06 00:00:00,2024-05-07 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,"נתונים אודות תחומים שונים (ריטלין, פסיכיאטריה, נזעי חשמל, פירכוס, אובדנות, אשפוז בכפיה ועוד)",בטיפול,,,39
321, 246/23,2023-07-05 00:00:00,2023-06-25 00:00:00,טופס מקוון,אחר,,אי מתן מענה,"מתאם פעולות הממשלה בשטחים (מתפש)""",אופן הטלת מניעה,סיום טיפול,מוצדק,27/09/2023,94
322, 274/22,2022-06-15 00:00:00,2022-06-21 00:00:00,טופס מקוון,אזרח,,חוסר בהנמקה,משרד המשפטים,מספר עובדים עם מוגבלות משמעותית ,סיום טיפול,בלתי מוצדק,28/06/2022,8
323, 30/22,2021-12-14 00:00:00,2022-01-26 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד העבודה,קבלת מידע על מכללות לתחבורה בצפון,סיום טיפול,מוצדק,13/02/2022,18
324, 217/24,2024-05-13 00:00:00,2024-06-23 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,הרשות להגנת הצרכן ולסחר הוגן,אי קבלת מענה ענייני,סיום טיפול,בלתי מוצדק,10/07/2024,17
325, 139/24,2023-08-13 00:00:00,2024-02-05 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,רשות מקרקעי ישראל,מידע דחוף,סיום טיפול,בלתי מוצדק,25/07/2024,84
326, 637/21,2021-11-17 00:00:00,2021-12-27 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד התחבורה והבטיחות בדרכים,תגמולים לחברות על תיקופים של הנוסעים,סיום טיפול,מוצדק,27/02/2022,62
327, 60/22,2022-08-01 00:00:00,2022-02-14 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד החינוך,פירוט חלוקת תמיכות,סיום טיפול,מוצדק,26/05/2022,101
328, 75/23,2023-01-25 00:00:00,2023-01-03 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד החינוך,פרוטוקול וועדה פריטטית,סיום טיפול,מוצדק,03/05/2023,63
329, 346/22,2021-11-02 00:00:00,2022-08-19 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משטרת ישראל,"בקשה לקבלת תיק חקירה פלא 19/373477""",סיום טיפול,בלתי מוצדק,08/09/2022,20
330, 357/21,2021-03-25 00:00:00,2021-07-20 00:00:00,דואר אלקטרוני,אזרח,,חוסר בהנמקה,משרד המשפטים,קבלת העתק צווי איסור פרסום,סיום טיפול,בלתי מוצדק,11/08/2021,22
331, 62/24,2023-12-18 00:00:00,2024-02-20 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד התקשורת,מספר מקוצר כוכבית וארבע ספרות,סיום טיפול,מוצדק,04/03/2024,13
332, 276/23,2023-03-30 00:00:00,2023-07-18 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,"רשות שוק ההון, הביטוח והחיסכון",המסלקה הפנסיונית,סיום טיפול,מוצדק,21/09/2023,65
333, 268/23,2023-03-07 00:00:00,2023-10-07 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,רשות מקרקעי ישראל,מידע על עסקאות ,סיום טיפול,בלתי מוצדק,10/07/2023,0
334, 126/23,2023-02-28 00:00:00,2023-03-26 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד המשפטים,אי מתן מענה,סיום טיפול,בלתי מוצדק,10/05/2023,45
335, 61/22,2022-08-01 00:00:00,2022-02-14 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הרווחה והשירותים החברתיים,פירוט חלוקת תמיכות,סיום טיפול,מוצדק,17/02/2022,3
336, 104/24,2023-07-11 00:00:00,2024-03-04 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד המשפטים,אי מתן מענה !במועד! סמוכין 394794 תאריך 07.11.23 ,סיום טיפול,בלתי מוצדק,03/04/2024,0
337, 149/24,2024-12-02 00:00:00,2024-09-05 00:00:00,טופס מקוון,אחר,,אי מתן מענה,משרד המשפטים,כתבי אישום,סיום טיפול,מוצדק,22/05/2024,13
338, 457/22,2022-12-07 00:00:00,2022-11-28 00:00:00,טופס מקוון,אחר,,אי מתן מענה,משרד הבריאות,תיקון העלון לתרופת פרופסיה,סיום טיפול,מוצדק,10/07/2023,224
339, 376/22,2022-02-08 00:00:00,2022-06-09 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד החינוך,וועדת החריגים תמריצים,סיום טיפול,מוצדק,14/09/2022,8
340, 76/23,2023-01-29 00:00:00,2023-02-03 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד החקלאות ופיתוח הכפר,אי מתן מענה לבקשת מידע  29.01.23 סמוכין 357354 ,סיום טיפול,בלתי מוצדק,14/12/2023,287
341, 248/24,2024-02-20 00:00:00,2024-07-14 00:00:00,טופס מקוון,אחר,,אי מתן מענה,משרד האוצר,נגישות לאנשים עם מוגבלות,בטיפול,,,30
342, 105/22,2022-01-23 00:00:00,2022-03-14 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד העבודה,מחקר תחלואת סרטן עודפת,סיום טיפול,מוצדק,26/05/2022,73
343, 268/24,2024-05-16 00:00:00,2024-07-17 00:00:00,טופס מקוון,אזרח,,חוסר בהנמקה,משרד התחבורה והבטיחות בדרכים,פרוטוקולים ותכוניות בנייה,בטיפול,,,28
344, 151/22,2022-07-02 00:00:00,2022-05-04 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,הוספת סטודנטים לרפואה,סיום טיפול,מוצדק חלקית,27/04/2022,22
345, 296/22,2022-03-03 00:00:00,2022-07-17 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,הנהלת בתי המשפט,הכשרות שופטים בנושא אלימות מינית,סיום טיפול,מוצדק,14/09/2022,59
346, 591/21,2021-10-20 00:00:00,2021-11-24 00:00:00,טופס מקוון,אזרח,,חוסר בהנמקה,משרד התחבורה והבטיחות בדרכים,קבלת מידע נוקדות חובה,סיום טיפול,בלתי מוצדק,12/12/2021,18
347, 501/22,2022-12-09 00:00:00,2022-12-25 00:00:00,טופס מקוון,עמותה,החברה להגנת הטבע,אי מתן מענה,"צהל""",תאורה באסדת הגז לוויתן,סיום טיפול,מוצדק,28/03/2023,93
348, 457/23,2023-04-07 00:00:00,2023-10-29 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,אי מתן מענה לבקשה סמוכין 378524 04.07.23 ,סיום טיפול,בלתי מוצדק,14/12/2023,46
349, 77/24,2024-02-15 00:00:00,2024-06-03 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד המשפטים,שמאי מכריע,סיום טיפול,בלתי מוצדק,13/03/2024,7
350, 227/24,2024-03-27 00:00:00,2024-01-07 00:00:00,טופס מקוון,אזרח,,אגרות,משרד התחבורה והבטיחות בדרכים,תוכניות עתידיות אוטובוס אקורדיון וקומותיים,בטיפול,,,43
351, 50/24,2024-01-22 00:00:00,2024-07-02 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,הרשות לאכיפה במקרקעין - משרד האוצר,מדיע בנוגע להפעלת סמכות מקבילה,סיום טיפול,בלתי מוצדק,27/03/2024,49
352, 308/22,2022-06-27 00:00:00,2022-07-25 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,פניה מתאריך ה- 27.06.2022 - אי מתן מענה,סיום טיפול,בלתי מוצדק,28/07/2022,3
353, 243/24,2024-12-03 00:00:00,2024-09-07 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבינוי והשיכון,תמהיל דירות פרויקט 1572 בתוכנית מחיר למשתכן ,סיום טיפול,מוצדק,30/07/2024,21
